max_depth,min_samples_leaf,train_acc,test_acc
2,8,0.9667,0.9333
2,6,0.9667,0.9333
2,4,0.9667,0.9333
2,2,0.9667,0.9333
2,1,0.9667,0.9333
5,8,0.9667,0.9333
5,6,0.9667,0.9333
5,4,0.9833,0.9667
5,2,0.9833,0.9333
5,1,1.0,0.9333
10,8,0.9667,0.9333
10,6,0.9667,0.9333
10,4,0.9833,0.9667
10,2,0.9833,0.9333
10,1,1.0,0.9333
15,8,0.9667,0.9333
15,6,0.9667,0.9333
15,4,0.9833,0.9667
15,2,0.9833,0.9333
15,1,1.0,0.9333
None,8,0.9667,0.9333
None,6,0.9667,0.9333
None,4,0.9833,0.9667
None,2,0.9833,0.9333
None,1,1.0,0.9333
